source_center,destination_center,median,count,std
IND000000AAL,IND411033AAA,28.4661,18,2.1861425993903696
IND000000AAQ,IND700028AAB,13.9007,2,0.21764746724921955
IND000000ABG,IND501359AAF,35.0149,11,1.675735941174937
IND000000ACA,IND140401AAA,71.38040000000001,1,
IND000000ACA,IND142401AAA,27.6177,6,6.821154898817844
IND000000ACA,IND143001AAA,156.737,16,12.41683657831676
IND000000ACA,IND144001AAB,70.1373,2,0.02418305191657883
IND000000ACA,IND147301AAA,76.31309999999999,2,55.396583715785205
IND000000ACA,IND151001AAA,209.4346,7,5.371244892458527
IND000000ACA,IND152026AAA,157.1617,3,5.305756671138762
IND000000ACA,IND160002AAC,88.9471,26,6.607057002868514
IND000000ACB,IND000000AEL,62.2188,23,6.946834111413769
IND000000ACB,IND110024AAA,69.58695,6,3.6333665439919476
IND000000ACB,IND110030AAD,50.8802,28,5.1984711212444665
IND000000ACB,IND110037AAK,39.2915,39,5.180008516777425
IND000000ACB,IND110037AAM,351.2874,3,11.866394922778095
IND000000ACB,IND110043AAA,38.424800000000005,17,4.428400574766042
IND000000ACB,IND110043AAC,60.0094,9,1.1446962260792177
IND000000ACB,IND110052AAA,67.32195,2,0.6238803130409014
IND000000ACB,IND110064AAA,59.407650000000004,48,8.005856001382735
IND000000ACB,IND110085AAB,69.0404,24,5.1512842707890085
IND000000ACB,IND110092AAC,73.7171,5,1.735923386270266
IND000000ACB,IND110095AAB,93.24334999999999,36,10.372251534175893
IND000000ACB,IND121002AAB,70.6197,57,6.145307671998312
IND000000ACB,IND121004AAB,64.8236,31,0.9361656373292782
IND000000ACB,IND122001AAA,35.951,57,8.034115187844126
IND000000ACB,IND122015AAC,37.52775,2,2.7592013708680225
IND000000ACB,IND123106AAB,158.4101,1,
IND000000ACB,IND124103AAA,57.37305,2,8.461876139781292
IND000000ACB,IND124141AAA,221.6467,1,
IND000000ACB,IND125001AAA,164.0601,9,2.0872541873236137
IND000000ACB,IND125005AAA,164.61425000000003,4,0.4711649994074918
IND000000ACB,IND127021AAA,118.19595000000001,4,5.389601096169672
IND000000ACB,IND127201AAA,174.8677,1,
IND000000ACB,IND131028AAB,132.06054999999998,92,11.13617528394765
IND000000ACB,IND160002AAC,289.6173,41,8.369377147292505
IND000000ACB,IND201001AAC,255.98430000000002,4,98.7252551823958
IND000000ACB,IND201007AAA,79.358,9,9.087182973715107
IND000000ACB,IND201301AAF,75.5451,9,5.771418955460125
IND000000ACB,IND201301AAM,218.9422,39,121.31945949724366
IND000000ACB,IND209304AAA,512.1734,9,58.263925451646315
IND000000ACB,IND221313AAA,891.1157499999999,6,195.77897326433617
IND000000ACB,IND284403AAA,495.90905,2,125.26658258228727
IND000000ACB,IND301001AAB,103.147,6,1.2423831470202757
IND000000ACB,IND302014AAA,236.00885,30,12.398851291374566
IND000000ACB,IND302022AAD,248.89335,20,14.329226510798243
IND000000ACB,IND328001AAA,311.9958,1,
IND000000ACB,IND382430AAB,882.4261,17,26.413000237033717
IND000000ACB,IND395023AAA,1141.4073,6,26.048650908380466
IND000000ACB,IND411033AAA,1376.9619,3,31.955729700686415
IND000000ACB,IND421302AAG,1402.9295,19,36.234093182561026
IND000000ACB,IND462022AAA,772.1985500000001,18,30.251068075698686
IND000000ACB,IND474003AAA,346.66610000000003,8,24.86093388752722
IND000000ACB,IND501359AAE,1797.0543,26,326.83373655872765
IND000000ACB,IND521225AAB,2077.6627,1,
IND000000ACB,IND562132AAA,2281.086,47,50.99173750097575
IND000000ACB,IND600056AAB,2348.629,14,88.80831574308792
IND000000ACB,IND712311AAA,1521.16005,32,70.71340660483195
IND000000ACB,IND751002AAB,2276.8759,15,241.40198712842167
IND000000ACB,IND821115AAB,1052.1834,18,75.58742461052064
IND000000ACB,IND834002AAB,1344.1790500000002,16,78.02671378873157
IND000000ACB,IND854326AAB,1477.0706,3,17.061094037116685
IND000000ACK,IND501359AAF,28.1124,32,1.9517436464793703
IND000000ACN,IND501359AAF,21.6558,16,2.28725630781183
IND000000ACT,IND000000ACB,43.7481,47,4.690563084029854
IND000000ACT,IND131028AAB,45.3686,39,2.8170098627879403
IND000000ACT,IND160002AAC,237.4183,21,6.090594328134554
IND000000ACT,IND395023AAA,1173.6983,5,60.62159274126658
IND000000ACT,IND411033AAA,1461.0558,19,57.25232475810011
IND000000ACT,IND501359AAE,1723.4704,13,57.432770615924646
IND000000ACT,IND712311AAA,1715.9533000000001,16,118.72602143853094
IND000000ADV,IND600044AAC,51.7722,18,1.1433064290694916
IND000000AEL,IND000000ACB,63.23,17,7.026962296418993
IND000000AEM,IND110037AAB,47.9107,11,6.61230553787269
IND000000AEM,IND110064AAB,60.5313,11,4.668378343941482
IND000000AET,IND781018AAB,565.37835,2,3.2349428132502656
IND000000AFJ,IND695012AAA,63.0861,1,
IND000000AFJ,IND695541AAA,49.7122,13,4.7408671633616795
IND000000AFJ,IND695572AAB,31.6341,7,1.3513288444025329
IND000000AFR,IND683511AAA,29.9377,1,
IND000000AFT,IND400072AAB,21.1386,10,2.4705560319715705
IND000000AFT,IND400701AAA,25.0439,1,
IND000000AFT,IND400706AAA,14.15335,2,5.6310448519790715
IND000000AFT,IND410206AAA,22.119100000000003,1,
IND000000AFT,IND410206AAB,20.577,1,
IND000000AFT,IND410209AAA,18.06005,16,3.1330577874165773
IND000000AFT,IND410210AAA,17.6222,13,1.7834820838992864
IND000000AFT,IND421302AAG,23.8302,5,0.9265976057599106
IND110014AAA,IND110024AAA,11.83865,8,3.322904928753712
IND110024AAA,IND110014AAA,9.7301,6,2.6703549994335956
IND110030AAD,IND000000ACB,50.34140000000001,7,9.551155801861288
IND110037AAK,IND000000ACB,40.6921,43,6.831315090448874
IND110037AAM,IND000000ACB,505.76750000000004,2,11.277787474500558
IND110037AAM,IND110020AAB,27.6659,5,1.54573435622037
IND110037AAM,IND110024AAA,26.074199999999998,14,1.579863652918564
IND110037AAM,IND110035AAC,20.0244,33,3.2291533064288616
IND110037AAM,IND110064AAA,14.17905,2,1.7183401889614287
IND110037AAM,IND110085AAB,22.088300000000004,22,2.634557378729524
IND110037AAM,IND110092AAC,33.4305,1,
IND110037AAM,IND121004AAB,29.3089,46,2.490518189334458
IND110037AAM,IND125001AAA,209.3568,5,6.772444031662419
IND110037AAM,IND125005AAA,219.01605,4,4.844061721582417
IND110037AAM,IND131028AAB,44.0332,1,
IND110037AAM,IND201001AAC,45.87465,8,1.4664499387490675
IND110037AAM,IND201007AAA,38.218199999999996,6,1.9567121873183146
IND110037AAM,IND201301AAD,35.0513,1,
IND110037AAM,IND201301AAF,35.3897,5,1.7588509359806468
IND110037AAM,IND202001AAB,146.62,1,
IND110037AAM,IND205001AAB,322.12305000000003,4,106.99710116637112
IND110037AAM,IND209304AAA,477.8933,14,9.716400194267656
IND110037AAM,IND211002AAB,800.2778000000001,21,47.946749931508606
IND110037AAM,IND226004AAC,549.1997,1,
IND110037AAM,IND250002AAC,106.51365,2,20.792969875537256
IND110037AAM,IND282002AAD,236.31369999999998,8,3.794975199594283
IND110037AAM,IND421302AAG,1454.74775,18,47.57427256055711
IND110037AAM,IND781018AAB,2181.4607,1,
IND110037AAM,IND811399AAA,39.3921,1,
IND110043AAA,IND000000ACB,48.9673,5,6.251365667036282
IND110043AAA,IND110078AAA,18.9488,20,1.6671537053739531
IND110043AAC,IND000000ACB,63.1933,1,
IND110044AAB,IND000000ACB,66.65395000000001,76,7.353214913489531
IND110044AAB,IND110030AAD,15.3918,30,0.9636128119272517
IND110044AAB,IND110037AAM,24.686,3,1.3729490388697365
IND110044AAB,IND131028AAB,49.42755,40,3.8040612222342607
IND110044AAB,IND201007AAA,20.3799,11,1.2449730433007196
IND110044AAB,IND201301AAF,12.7,12,0.9744490509793446
IND110052AAA,IND000000ACB,67.99605,10,0.7671768694375519
IND110064AAA,IND000000ACB,59.7209,39,8.268875276331098
IND110064AAA,IND110005AAA,11.3041,2,0.9342294793036673
IND110064AAA,IND110046AAA,13.586200000000002,1,
IND110077AAA,IND110043AAA,11.7786,1,
IND110078AAA,IND110043AAA,18.5128,1,
IND110083AAA,IND110085AAB,15.975,1,
IND110085AAB,IND000000ACB,68.3144,7,6.453912900381773
IND110085AAB,IND110039AAA,13.2581,1,
IND110085AAB,IND110083AAA,11.9201,3,0.18078265956667441
IND110085AAB,IND110085AAA,11.4111,1,
IND110085AAB,IND110087AAA,11.7553,3,0.22911781539926854
IND110092AAC,IND000000ACB,75.30865,6,3.8353927710209827
IND110092AAC,IND110093AAA,12.8317,1,
IND110093AAA,IND110092AAC,15.547,1,
IND110095AAB,IND000000ACB,77.609,1,
IND121001AAA,IND121004AAB,11.9969,26,0.7475392887333749
IND121002AAB,IND000000ACB,72.0294,29,9.378803828717263
IND121004AAA,IND121004AAB,19.0484,2,2.4707725148220336
IND121004AAB,IND000000ACB,65.1568,34,4.151055127286112
IND121004AAB,IND110037AAM,28.6533,37,1.186940951092928
IND121004AAB,IND121001AAA,11.5437,23,1.6948993517053061
IND121004AAB,IND121004AAA,16.259999999999998,13,1.2206615566033168
IND121004AAB,IND121004AAC,16.871,6,1.0466775544550473
IND121004AAB,IND121102AAA,40.7359,29,2.0322472874904554
IND121004AAC,IND121004AAB,20.616300000000003,1,
IND122001AAA,IND000000ACB,37.97435,20,3.9471165516374738
IND122001AAA,IND110037AAM,13.2356,1,
IND122001AAA,IND122001AAD,10.817,1,
IND122001AAA,IND122050AAA,28.8153,3,2.9216442910343035
IND122001AAA,IND122101AAC,13.6755,1,
IND122001AAD,IND122050AAA,17.058149999999998,8,1.8386914794028302
IND122002AAD,IND122001AAA,72.47095,2,4.272834146675948
IND122004AAA,IND000000ACB,35.6946,1,
IND122004AAA,IND122413AAE,37.1438,43,3.5974079866039586
IND123001AAA,IND000000ACB,106.40035,2,0.19947482297272992
IND123001AAA,IND123106AAB,94.8705,1,
IND123001AAA,IND123401AAB,40.41930000000001,1,
IND123401AAB,IND000000ACB,66.0395,1,
IND124001AAB,IND131301AAA,176.6576,1,
IND124103AAA,IND000000ACB,229.0107,1,
IND124112AAA,IND110037AAM,249.4467,1,
IND124141AAA,IND000000ACB,103.4088,1,
IND124507AAA,IND131028AAE,40.4897,2,2.2758938859270184
IND125001AAA,IND000000ACB,158.3221,10,1.2741458920913948
IND125001AAA,IND110037AAM,177.2008,3,5.824200248102758
IND125001AAA,IND125047AAB,39.2669,1,
IND125001AAA,IND125051AAA,111.0927,3,7.024494804847765
IND125001AAA,IND125104AAA,344.0658,5,20.578683311937137
IND125001AAA,IND125111AAA,133.5765,1,
IND125001AAA,IND335513AAA,189.58339999999998,2,10.128880376428588
IND125001AAA,IND335523AAB,192.48295000000002,4,15.107913507496654
IND125001AAA,IND335524AAA,181.1853,3,0.565521644148138
IND125005AAA,IND000000ACB,159.8062,5,1.9382270553265954
IND125005AAA,IND125051AAA,111.6768,1,
IND125005AAA,IND125104AAA,346.6752,1,
IND125005AAA,IND125111AAA,135.21335,2,0.7094402335644502
IND125005AAA,IND331701AAA,214.8969,1,
IND125005AAA,IND335513AAA,180.5204,1,
IND125005AAA,IND335524AAA,181.96744999999999,2,1.1038643961102965
IND125047AAB,IND125051AAA,68.9421,1,
IND125047AAB,IND125111AAA,89.0035,1,
IND125050AAA,IND125051AAA,25.774700000000003,1,
IND126102AAA,IND131301AAA,116.1124,3,0.2978726125935948
IND127021AAA,IND000000ACB,147.4456,1,
IND127021AAA,IND127201AAA,54.6919,1,
IND131021AAA,IND131028AAA,13.222199999999999,58,1.6061160880860859
IND131028AAB,IND000000ACB,132.481,86,8.750588899599546
IND131028AAB,IND110037AAM,51.668,7,3.554730140584649
IND131028AAB,IND131028AAE,89.0154,1,
IND131028AAB,IND131301AAA,201.62455,2,46.29109898376794
IND131028AAB,IND132039AAA,225.2925,2,0.6888634262319319
IND131028AAB,IND160002AAC,202.2766,16,11.486477758970903
IND131028AAB,IND201204AAA,83.02595,4,25.10027926225789
IND131028AAB,IND244001AAA,298.01885,4,46.065006008538276
IND131028AAB,IND247776AAA,63.6448,1,
IND131028AAB,IND248001AAA,243.26045,2,0.02849640328181928
IND131028AAB,IND249201AAA,196.0737,7,14.628009218146895
IND131028AAB,IND250002AAA,87.64330000000001,3,22.607641238380737
IND131028AAB,IND250002AAC,89.7878,1,
IND131028AAB,IND250611AAA,38.9892,1,
IND131028AAB,IND251201AAA,110.8568,1,
IND131028AAB,IND251309AAB,65.4715,1,
IND131028AAE,IND124507AAA,42.7911,1,
IND132001AAA,IND131028AAB,92.7415,2,4.365677267045749
IND132001AAA,IND132103AAA,38.0852,1,
IND132103AAA,IND131028AAB,75.8047,5,42.93464660962053
IND132103AAA,IND132001AAA,43.03255,2,5.603891951581508
IND132103AAA,IND132103AAB,86.22240000000001,1,
IND132103AAB,IND131028AAB,58.55595,2,5.253025566756742
IND132103AAB,IND132001AAA,44.35595,2,9.196277242721642
IND132103AAB,IND132103AAA,141.8306,1,
IND133004AAA,IND160002AAC,238.00945000000002,4,0.5463891439868255
IND133004AAA,IND173025AAA,114.50145,2,0.20923289655309663
IND134102AAA,IND160002AAC,91.1399,1,
IND134109AAA,IND160002AAC,36.9672,5,1.4254171799862665
IND134203AAA,IND140501AAA,47.5991,2,10.696687121721375
IND134203AAA,IND160002AAC,82.4962,13,3.9657119367953424
IND135001AAA,IND160002AAC,180.6962,5,2.042648342960682
IND136118AAA,IND131028AAB,184.7225,1,
IND136118AAA,IND132039AAA,95.01105000000001,4,1.2529008766325693
IND140301AAA,IND140118AAA,67.4095,1,
IND140301AAA,IND160002AAC,64.1078,5,4.6917698832103865
IND140406AAA,IND000000ACA,155.1781,1,
IND140406AAA,IND140401AAA,37.665600000000005,1,
IND140501AAA,IND160002AAC,29.4908,1,
IND140901AAA,IND160002AAC,46.2358,1,
IND140901AAA,IND160055AAA,13.0254,1,
IND141003AAB,IND000000ACA,115.64425,26,47.278462946910125
IND141003AAB,IND141109AAA,66.5368,1,
IND141003AAB,IND142026AAA,40.4386,2,0.3293703386766949
IND141010AAA,IND000000ACA,15.531,1,
IND141115AAA,IND000000ACA,37.1583,1,
IND142001AAB,IND000000ACA,261.2515,1,
IND142001AAB,IND151001AAA,130.937,5,1.537401010471891
IND142401AAA,IND000000ACA,29.0026,1,
IND143001AAA,IND160002AAC,250.18795,8,3.231920063075062
IND144001AAA,IND144001AAB,52.4303,8,3.784638361568663
IND144001AAA,IND144040AAA,26.1108,5,0.6683978657955167
IND144001AAB,IND000000ACA,74.44435,2,1.781838377911986
IND144001AAB,IND143001AAA,111.80255,2,0.02015254326381737
IND144001AAB,IND144040AAA,77.6845,1,
IND144001AAB,IND144401AAB,14.7328,1,
IND144001AAB,IND160002AAC,164.0405,3,8.959425677091883
IND144001AAC,IND000000ACA,69.45925,2,0.024960869375889757
IND144001AAC,IND160002AAC,193.09895,16,26.17221036192141
IND144401AAB,IND144001AAB,13.47615,4,1.5808249373349341
IND144514AAA,IND000000ACA,60.4088,2,6.891745532156563
IND144601AAA,IND144040AAA,52.5412,1,
IND145001AAA,IND176201AAA,19.2593,1,
IND145001AAA,IND176310AAA,123.3421,1,
IND147001AAB,IND160002AAC,113.552,1,
IND147101AAA,IND147105AAA,25.8111,1,
IND147105AAA,IND160002AAC,103.7387,2,1.673863172424808
IND147201AAA,IND160002AAC,70.1676,1,
IND148028AAA,IND147001AAB,64.2174,2,1.2027886347983128
IND148028AAA,IND160002AAC,191.7339,1,
IND148101AAA,IND151001AAA,88.4524,1,
IND151001AAA,IND148101AAA,64.2757,4,2.5743226660942624
IND151001AAA,IND148102AAA,88.18085,4,1.9837687069061254
IND151001AAA,IND151103AAA,28.3837,3,3.473261990310166
IND151001AAA,IND151302AAA,56.9986,1,
IND151001AAA,IND151505AAA,167.12709999999998,2,0.7580184694319708
IND151001AAA,IND160002AAC,208.4974,6,3.9766504074409186
IND151506AAA,IND151001AAA,77.7979,4,1.2722734611709852
IND152026AAA,IND152101AAA,37.978,1,
IND152026AAA,IND152123AAA,64.093,1,
IND152026AAA,IND160002AAC,279.29420000000005,2,4.510209893120254
IND152101AAA,IND152026AAA,34.6875,1,
IND160002AAC,IND000000ACA,129.70620000000002,34,102.7984942770676
IND160002AAC,IND000000ACB,293.1914,33,8.41433780168874
IND160002AAC,IND110037AAM,234.3489,9,6.351798807424557
IND160002AAC,IND131028AAB,185.27935,12,11.292911316477175
IND160002AAC,IND140001AAA,64.85695,2,1.4264465096876189
IND160002AAC,IND140118AAA,104.74005,2,0.56632182105231
IND160002AAC,IND140603AAA,30.3381,10,0.6576666764656189
IND160002AAC,IND140901AAA,50.906000000000006,2,0.15683628406716996
IND160002AAC,IND144001AAB,159.5714,3,6.568259783484008
IND160002AAC,IND147001AAD,163.27100000000002,1,
IND160002AAC,IND147105AAA,100.78375,6,1.4208011303486434
IND160002AAC,IND160003AAA,33.1927,1,
IND160002AAC,IND160102AAC,37.1548,25,1.7956486076717058
IND160002AAC,IND174103AAA,154.7289,3,13.470252791367116
IND160002AAC,IND175018AAA,192.8731,1,
IND160002AAC,IND175101AAA,282.4729,11,25.041092360990103
IND160002AAC,IND176041AAA,211.7049,1,
IND160002AAC,IND176110AAB,262.9779,1,
IND160002AAC,IND177033AAA,265.0747,1,
IND160002AAC,IND184104AAA,319.9757,1,
IND160002AAC,IND184121AAA,435.8366,1,
IND160002AAC,IND421302AAG,1679.658,15,36.857106392155444
IND160002AAC,IND562132AAA,2589.62185,20,85.10786759653752
IND160003AAA,IND160002AAC,37.9311,1,
IND160102AAC,IND160002AAC,36.1682,28,1.34583035214668
IND160102AAD,IND160002AAC,36.4572,3,5.462289454065944
IND160102AAD,IND160002AAD,38.6283,3,4.48226750205741
IND173025AAA,IND160002AAC,121.3218,1,
IND174001AAA,IND175101AAA,124.1791,1,
IND174021AAA,IND174001AAA,225.4817,11,3.5690776218666205
IND174021AAA,IND176048AAA,27.4653,1,
IND174103AAA,IND160002AAC,68.4577,1,
IND174307AAA,IND160002AAC,247.1018,4,3.656329354694421
IND174307AAA,IND176041AAA,34.7831,1,
IND175015AAA,IND174001AAA,122.51665,2,1.8690953547104086
IND175018AAA,IND175101AAA,87.482,1,
IND176110AAB,IND160002AAC,246.3287,1,
IND176201AAA,IND145001AAA,233.34390000000002,4,2.044783100151865
IND176310AAA,IND145001AAA,124.2268,3,0.3343807759625649
IND177203AAA,IND160002AAC,400.29179999999997,2,5.722756601498964
IND177203AAA,IND176061AAA,110.0007,1,
IND181152AAA,IND160002AAC,359.35585000000003,2,2.8696514500893677
IND181152AAB,IND160002AAC,360.2453,1,
IND181152AAB,IND181201AAB,28.7425,3,1.891683166741549
IND181201AAB,IND181152AAB,31.3422,4,2.920582984468456
IND184104AAA,IND160002AAC,448.5983,1,
IND184104AAA,IND181152AAA,77.41760000000001,1,
IND184104AAA,IND181152AAB,80.358,1,
IND201001AAA,IND201007AAA,10.5612,5,0.34939603603933445
IND201001AAC,IND000000ACB,348.567,1,
IND201001AAC,IND110037AAM,47.85105,2,3.0696212478089198
IND201007AAA,IND201001AAA,10.4857,4,0.6516719087598198
IND201007AAA,IND201005AAA,10.438400000000001,2,0.04270924958366779
IND201007AAA,IND201007AAB,15.2666,1,
IND201007AAA,IND245101AAA,45.9469,2,0.13816866504384842
IND201007AAA,IND245304AAA,59.135400000000004,2,0.12148094500784459
IND201007AAB,IND110044AAB,35.2384,10,4.236140070197555
IND201007AAB,IND201007AAA,11.77685,2,0.5847065973631569
IND201007AAB,IND201301AAF,13.0087,5,0.5329006633510599
IND201204AAA,IND250002AAA,22.3762,1,
IND201301AAF,IND201304AAA,10.8301,1,
IND201301AAF,IND203135AAA,100.8361,1,
IND201301AAL,IND201301AAF,22.5996,1,
IND201301AAM,IND000000ACB,168.5874,27,127.48075648346764
IND201304AAA,IND201301AAF,11.6079,8,1.1788735579841825
IND201306AAA,IND201301AAF,20.2879,7,1.5478622240890514
IND201306AAA,IND201304AAA,13.3995,1,
IND201307AAA,IND201301AAF,43.4764,9,4.378769068185711
IND201307AAA,IND201301AAL,18.84315,14,1.6928625368857364
IND202001AAB,IND207123AAA,158.1462,1,
IND202001AAB,IND282002AAD,92.135,1,
IND202001AAC,IND202001AAB,214.42755,4,45.26981235753763
IND203001AAA,IND201301AAF,157.3877,1,
IND203131AAA,IND201301AAF,227.8097,1,
IND204215AAA,IND202001AAB,142.25265000000002,2,0.23355736982592248
IND205001AAB,IND110037AAM,382.63325,4,60.50433825720681
IND205001AAB,IND207247AAB,289.1372,1,
IND205001AAB,IND241124AAB,133.0498,1,
IND205135AAA,IND110037AAM,361.4482,1,
IND205135AAA,IND283203AAA,21.7881,3,0.27589803068041757
IND208017AAA,IND209304AAA,60.5429,1,
IND208019AAA,IND209304AAA,49.3634,1,
IND209101AAA,IND209304AAA,409.34955,2,58.18520072875065
IND209101AAA,IND285205AAB,146.2945,1,
IND209111AAA,IND285205AAB,80.18809999999999,3,0.6801456339147736
IND209304AAA,IND000000ACB,564.88495,8,37.05930435687556
IND209304AAA,IND110037AAM,524.50185,10,63.95599251587938
IND209304AAA,IND206122AAA,181.853,1,
IND209304AAA,IND208006AAA,30.6427,11,46.024075918308036
